2023-04-09 00:47:19,491 | DEBUG | route: auth/login
2023-04-09 17:19:00,643 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/reverify
2023-04-09 17:19:14,466 | DEBUG | route: auth/verification/
2023-04-09 17:19:14,466 | DEBUG | route: auth/verification/
2023-04-09 17:19:14,468 | DEBUG | Dispatching request to auth microservice: GET http://0.0.0.0:8001/auth/verification/?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJyZXpheWVrIiwiZXhwIjoxNjgxMDY0MzQwfQ.8kjY5XGX0IOK_Iw1oV5t0rXSEuGNTJIlRh6zT-8LftI
2023-04-09 17:19:14,468 | DEBUG | Dispatching request to auth microservice: GET http://0.0.0.0:8001/auth/verification/?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJyZXpheWVrIiwiZXhwIjoxNjgxMDY0MzQwfQ.8kjY5XGX0IOK_Iw1oV5t0rXSEuGNTJIlRh6zT-8LftI
2023-04-09 17:19:19,772 | DEBUG | route: favicon.ico
2023-04-09 17:19:19,772 | DEBUG | route: favicon.ico
2023-04-09 17:26:54,347 | DEBUG | route: auth/reverify
2023-04-09 17:26:54,347 | DEBUG | route: auth/reverify
2023-04-09 17:26:54,349 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/reverify
2023-04-09 17:26:54,349 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/reverify
2023-04-09 17:27:05,305 | DEBUG | route: auth/create_user
2023-04-09 17:27:05,305 | DEBUG | route: auth/create_user
2023-04-09 17:27:05,309 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 17:27:05,309 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/create_user
2023-04-09 17:27:12,466 | DEBUG | route: auth/login
2023-04-09 17:27:12,466 | DEBUG | route: auth/login
2023-04-09 17:27:12,468 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 17:27:12,468 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 17:28:32,831 | DEBUG | route: posts
2023-04-09 17:28:32,831 | DEBUG | route: posts
2023-04-09 17:28:32,834 | DEBUG | Dispatching request to posts microservice: POST http://0.0.0.0:8002/posts
2023-04-09 17:28:32,834 | DEBUG | Dispatching request to posts microservice: POST http://0.0.0.0:8002/posts
2023-04-09 17:28:51,364 | DEBUG | route: posts
2023-04-09 17:28:51,364 | DEBUG | route: posts
2023-04-09 17:28:51,368 | DEBUG | Dispatching request to posts microservice: POST http://0.0.0.0:8002/posts
2023-04-09 17:28:51,368 | DEBUG | Dispatching request to posts microservice: POST http://0.0.0.0:8002/posts
2023-04-09 17:29:05,522 | DEBUG | route: posts
2023-04-09 17:29:05,522 | DEBUG | route: posts
2023-04-09 17:29:05,527 | DEBUG | Dispatching request to posts microservice: GET http://0.0.0.0:8002/posts?limit=2&skip=0&search=
2023-04-09 17:29:05,527 | DEBUG | Dispatching request to posts microservice: GET http://0.0.0.0:8002/posts?limit=2&skip=0&search=
2023-04-09 17:29:18,040 | DEBUG | route: posts/4
2023-04-09 17:29:18,040 | DEBUG | route: posts/4
2023-04-09 17:29:18,045 | DEBUG | Dispatching request to posts microservice: GET http://0.0.0.0:8002/posts/4
2023-04-09 17:29:18,045 | DEBUG | Dispatching request to posts microservice: GET http://0.0.0.0:8002/posts/4
2023-04-09 20:19:20,586 | DEBUG | route: auth/login
2023-04-09 20:19:20,586 | DEBUG | route: auth/login
2023-04-09 20:19:20,588 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 20:19:20,588 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-09 20:19:26,306 | DEBUG | route: posts
2023-04-09 20:19:26,306 | DEBUG | route: posts
2023-04-09 20:19:26,307 | DEBUG | Dispatching request to posts microservice: POST http://0.0.0.0:8002/posts
2023-04-09 20:19:26,307 | DEBUG | Dispatching request to posts microservice: POST http://0.0.0.0:8002/posts
2023-04-10 20:28:00,235 | DEBUG | route: auth/login
2023-04-10 20:28:00,235 | DEBUG | route: auth/login
2023-04-10 20:28:00,236 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-10 20:28:00,236 | DEBUG | Dispatching request to auth microservice: POST http://0.0.0.0:8001/auth/login
2023-04-10 20:29:42,651 | DEBUG | route: auth/login
2023-04-10 20:29:42,651 | DEBUG | route: auth/login
2023-04-10 20:29:42,652 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/login
2023-04-10 20:29:42,652 | DEBUG | Dispatching request to auth microservice: POST http://127.0.0.1:8001/auth/login
2023-04-10 20:30:32,187 | DEBUG | route: posts
2023-04-10 20:30:32,187 | DEBUG | route: posts
2023-04-10 20:30:32,189 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:30:32,189 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:31:03,001 | DEBUG | route: posts
2023-04-10 20:31:03,001 | DEBUG | route: posts
2023-04-10 20:31:03,002 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:31:03,002 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:32:45,245 | DEBUG | route: posts
2023-04-10 20:32:45,245 | DEBUG | route: posts
2023-04-10 20:32:45,246 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:32:45,246 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:32:58,076 | DEBUG | route: posts
2023-04-10 20:32:58,076 | DEBUG | route: posts
2023-04-10 20:32:58,079 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:32:58,079 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:37:11,163 | DEBUG | route: posts
2023-04-10 20:37:11,163 | DEBUG | route: posts
2023-04-10 20:37:11,164 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:37:11,164 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:40:19,971 | DEBUG | route: posts
2023-04-10 20:40:19,971 | DEBUG | route: posts
2023-04-10 20:40:19,972 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:40:19,972 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:40:56,378 | DEBUG | route: posts
2023-04-10 20:40:56,378 | DEBUG | route: posts
2023-04-10 20:40:56,379 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:40:56,379 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:40:58,378 | DEBUG | route: posts
2023-04-10 20:40:58,378 | DEBUG | route: posts
2023-04-10 20:40:58,378 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:40:58,378 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:43:07,148 | DEBUG | route: posts
2023-04-10 20:43:07,148 | DEBUG | route: posts
2023-04-10 20:43:07,149 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:43:07,149 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=action
2023-04-10 20:43:17,205 | DEBUG | route: posts
2023-04-10 20:43:17,205 | DEBUG | route: posts
2023-04-10 20:43:17,207 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=new
2023-04-10 20:43:17,207 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=new
2023-04-10 20:44:59,302 | DEBUG | route: posts
2023-04-10 20:44:59,302 | DEBUG | route: posts
2023-04-10 20:44:59,303 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:44:59,303 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:45:24,957 | DEBUG | route: posts
2023-04-10 20:45:24,957 | DEBUG | route: posts
2023-04-10 20:45:24,958 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=forests
2023-04-10 20:45:24,958 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=forests
2023-04-10 20:45:35,539 | DEBUG | route: posts
2023-04-10 20:45:35,539 | DEBUG | route: posts
2023-04-10 20:45:35,540 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=horror
2023-04-10 20:45:35,540 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=horror
2023-04-10 20:46:04,549 | DEBUG | route: posts
2023-04-10 20:46:04,549 | DEBUG | route: posts
2023-04-10 20:46:04,550 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=
2023-04-10 20:46:04,550 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=
2023-04-10 20:49:09,173 | DEBUG | route: posts
2023-04-10 20:49:09,173 | DEBUG | route: posts
2023-04-10 20:49:09,174 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=
2023-04-10 20:49:09,174 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=
2023-04-10 20:50:55,493 | DEBUG | route: posts
2023-04-10 20:50:55,493 | DEBUG | route: posts
2023-04-10 20:50:55,493 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=
2023-04-10 20:50:55,493 | DEBUG | Dispatching request to posts microservice: GET http://127.0.0.1:8002/posts?limit=2&skip=0&search=
2023-04-10 20:51:45,087 | DEBUG | route: posts
2023-04-10 20:51:45,087 | DEBUG | route: posts
2023-04-10 20:51:45,088 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:51:45,088 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:53:24,424 | DEBUG | route: posts
2023-04-10 20:53:24,424 | DEBUG | route: posts
2023-04-10 20:53:24,425 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:53:24,425 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:53:51,473 | DEBUG | route: posts
2023-04-10 20:53:51,473 | DEBUG | route: posts
2023-04-10 20:53:51,473 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:53:51,473 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:54:30,599 | DEBUG | route: posts
2023-04-10 20:54:30,599 | DEBUG | route: posts
2023-04-10 20:54:30,600 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:54:30,600 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:55:06,747 | DEBUG | route: posts
2023-04-10 20:55:06,747 | DEBUG | route: posts
2023-04-10 20:55:06,749 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:55:06,749 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:55:32,056 | DEBUG | route: posts
2023-04-10 20:55:32,056 | DEBUG | route: posts
2023-04-10 20:55:32,057 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:55:32,057 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:57:36,362 | DEBUG | route: posts
2023-04-10 20:57:36,362 | DEBUG | route: posts
2023-04-10 20:57:36,363 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:57:36,363 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:57:59,540 | DEBUG | route: posts
2023-04-10 20:57:59,540 | DEBUG | route: posts
2023-04-10 20:57:59,543 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:57:59,543 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:59:22,647 | DEBUG | route: posts
2023-04-10 20:59:22,647 | DEBUG | route: posts
2023-04-10 20:59:22,648 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 20:59:22,648 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 21:02:28,165 | DEBUG | route: posts
2023-04-10 21:02:28,165 | DEBUG | route: posts
2023-04-10 21:02:28,166 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 21:02:28,166 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
2023-04-10 21:04:24,182 | DEBUG | route: posts
2023-04-10 21:04:24,182 | DEBUG | route: posts
2023-04-10 21:04:24,183 | DEBUG | Dispatching request to posts microservice: POST http://127.0.0.1:8002/posts
